#  RA   Dec   redshift   u    g   r   i   z
34.26113495 -7.474348277 0.79 25.5196 24.4432 23.1833 21.9898 21.3383
34.19703532 -7.473616636 0.5 26.1498 24.1805 22.6328 21.8292 21.4722
34.31424238 -7.474376685 0.78 24.9357 23.6107 21.94 20.6352 20.0938
34.9209365 -7.473540859 0.77 26.2659 24.6022 23.0879 21.7543 20.9869
34.51344765 -7.472431507 0.91 26.5402 25.4315 23.3873 22.131 21.1926
34.29414089 -7.471203252 0.66 25.6895 24.6258 23.3431 22.3629 21.9713
34.38399737 -7.471212562 0.56 25.293 23.5344 22.0487 21.0945 20.6081
34.359154 -7.470627916 0.46 25.2681 23.3094 21.8861 21.166 20.7649
34.06828513 -7.469750714 0.67 25.3538 24.401 23.0044 22.1775 21.6354
34.16181198 -7.468941668 0.62 26.1851 24.5095 22.9834 21.9096 21.527
34.41547851 -7.465147148 0.44 25.3343 23.9864 22.7565 22.1851 21.8235
34.05850441 -7.465268272 0.62 26.8544 24.5086 23.0214 21.845 21.2845
34.90291371 -7.464500662 0.7 26.2301 24.2807 22.697 21.4536 20.9025
34.44316958 -7.46430996 0.86 25.9185 25.0588 23.562 22.3347 21.6684
34.84775004 -7.464109657 0.39 23.1762 21.9786 20.7759 20.2636 19.9041
34.61527404 -7.463351862 0.55 26.4546 24.2366 22.7605 21.8571 21.3872
34.89562915 -7.462362029 0.49 25.3375 23.8597 22.5033 21.8103 21.4021
34.061614 -7.461742204 0.36 23.2885 22.0093 20.8857 20.4116 19.9863
34.06900152 -7.460123625 0.63 27.337 24.4014 22.8808 21.6252 21.2034
34.94489742 -7.459268967 0.72 24.7493 23.5821 22.5289 21.4137 20.9029
34.50857825 -7.458889359 0.66 24.0101 23.0065 21.7001 20.7484 20.357
34.23795475 -7.456968366 0.75 25.5649 24.4837 22.9891 21.8046 21.3693
34.11580259 -7.457051658 0.79 99.0 25.2909 23.4835 22.092 21.2567
34.94585222 -7.455279741 0.71 24.9179 23.7285 22.6244 21.5087 21.0153
34.35205858 -7.455618149 0.41 24.6817 22.8953 21.3736 20.7696 20.4069
34.23205828 -7.452072393 0.55 25.5618 23.8661 22.3951 21.5207 21.0539
34.14385052 -7.451664588 0.65 25.5346 24.1129 22.9636 21.869 21.4382
34.91685681 -7.44938563 0.32 25.1173 23.4699 22.2025 21.6707 21.3294
34.20841615 -7.449218801 0.17 24.263 22.8066 21.9189 21.5624 21.4569
34.28545249 -7.449189949 0.54 25.9986 24.1309 22.5927 21.6652 21.2443
34.11193906 -7.449485821 0.63 24.8383 23.0419 21.5243 20.417 19.9742
34.22475263 -7.447903406 0.62 25.3119 23.7331 22.2116 21.2264 20.7344
34.5433212 -7.446767287 0.47 24.6154 23.3442 21.9294 21.2918 20.976
34.1126751 -7.446648485 0.53 24.7636 23.3985 22.0474 21.1962 20.8939
34.04431585 -7.443941807 0.64 99.0 24.3617 22.756 21.5499 21.0623
34.27706608 -7.44361625 0.7 27.6982 24.9898 23.2391 21.9911 21.4701
34.93540019 -7.442514977 0.61 25.4231 24.2005 22.9096 22.0159 21.5907
34.25119578 -7.441644556 0.63 25.8601 24.2163 22.7553 21.7056 21.1982
34.85986273 -7.441268017 0.55 26.7105 24.5603 22.9979 22.136 21.6676
34.43656879 -7.44081203 0.56 25.058 22.9327 21.5176 20.5148 20.0582
34.89100838 -7.437191056 0.51 25.2782 23.8111 22.5003 21.7033 21.3512
34.41574329 -7.43805536 0.66 26.6361 24.4557 22.8435 21.5953 21.14
34.55116942 -7.434580208 0.85 99.0 25.8155 23.8816 22.4987 21.5587
34.41499421 -7.433504849 1.05 25.5946 24.958 23.4725 22.3366 21.3481
34.26355943 -7.433493613 0.63 24.6825 23.5604 22.2125 21.3618 20.8559
34.42091796 -7.434696611 0.42 23.4386 21.8914 20.4091 19.795 19.4627
34.9465271 -7.43123646 0.52 26.231 23.6453 22.1297 21.1204 20.6681
34.10877623 -7.430720659 0.59 26.1023 23.6264 21.9089 20.8039 20.4044
34.56473084 -7.429693265 0.7 99.0 25.1314 -99.0 22.1628 21.6409
34.47048786 -7.426548738 0.56 99.0 24.9277 23.3918 22.4039 21.8708
34.3129577 -7.426019788 0.84 26.2272 24.943 23.4189 22.2983 21.4094
34.82405989 -7.424292889 0.76 27.4697 25.5659 23.8387 22.3605 21.7555
34.28246326 -7.424333071 0.81 24.6791 23.9944 22.4792 21.4412 20.9732
34.48111975 -7.424583142 0.57 25.6502 23.4112 21.9111 20.9152 20.5055
34.26880276 -7.423133083 1.14 25.2883 24.467 23.2823 22.1415 21.0957
34.07230859 -7.422549056 0.57 99.0 24.5712 23.2574 22.1348 21.6306
34.4578435 -7.422296447 0.9 26.0567 25.0171 23.4489 22.1973 21.2348
34.43767855 -7.418853517 0.63 25.9028 23.7997 22.3747 21.1731 20.6853
34.91665362 -7.417574091 0.62 24.4243 23.21 21.9202 20.9681 20.5495
34.94128058 -7.412800383 0.52 25.0383 23.6515 22.4525 21.6615 21.2757
34.02988689 -7.412215691 0.77 99.0 25.569 23.6577 22.4948 21.8038
34.82637126 -7.411031131 0.34 26.0734 24.1226 22.8013 22.2137 21.8573
34.77360989 -7.410694586 0.59 26.4598 23.8303 22.4144 21.19 20.7377
34.52783441 -7.41053736 0.49 27.0243 24.4693 23.2219 22.2455 21.8613
34.93852173 -7.408228815 0.52 26.531 23.7966 22.4102 21.3937 20.9462
34.26970121 -7.405990787 0.71 25.7676 24.7972 23.3418 22.3447 21.8316
34.95068006 -7.406465866 0.62 25.0378 23.3852 21.8664 20.8425 20.3342
34.12126594 -7.405065021 0.57 26.1311 24.1326 22.775 21.7341 21.2468
34.49116771 -7.405814111 0.47 25.0706 23.0517 21.6162 20.8484 20.4851
