# ra  dec  z  mag_u  mag_g  mag_r  mag_i  mag_z
56.4421455192584  1.27068742371064  0.352951  22.66077  20.74894  18.97916  18.37282  18.04293
60.9298042767039  -1.05434323009887  0.268021  20.86584  19.2117  17.65572  17.14681  16.85995
60.9922033959506  -1.23621993134289  0.314862  24.36577  20.1309  18.46731  17.9251  17.56654
61.0340379620847  -1.22008501275286  0.321112  23.10373  20.53345  18.90852  18.32647  18.07104
61.0024520169436  -1.07823630380143  0.32209  23.90819  20.60283  18.95936  18.3889  18.10129
60.9912660026722  -1.18812417400907  0.321645  21.91569  20.02207  18.48703  18.01947  17.69352
61.0118267242822  -1.19452849473859  0.295862  21.67241  19.12899  17.46058  16.90311  16.60788
60.950669131586  -1.24126937495568  0.32822  22.03038  20.62121  19.02191  18.47112  18.23755
60.9533527583575  -1.09144577243635  0.266195  23.78215  19.50938  18.01404  17.49729  17.22266
61.0198815562038  -1.20524727780771  0.281546  24.15931  20.38601  18.78843  18.28039  17.9472
61.1793814060268  -1.0989258932512  0.27805  22.11571  19.14545  17.54367  16.99635  16.71195
61.1843740935473  -1.15698576443311  0.290768  22.63979  19.98276  18.42623  17.89514  17.57119
61.2243958771486  -1.23922422441763  0.306163  24.33684  20.38503  18.81866  18.25197  17.86556
61.3789416110251  -1.09313211140562  0.305218  22.93248  20.15516  18.56536  17.95212  17.67158
61.5344883089907  -1.19176116932254  0.348923  22.90731  20.94653  19.27596  18.69613  18.30342
61.6614846621051  -1.21783751903254  0.339673  22.30964  20.52001  18.81701  18.23923  17.8752
61.6630625773461  -1.14035825479967  0.45089  23.48303  20.68429  18.7509  17.94577  17.53639
61.7203856577336  -1.18328272103059  0.347208  23.54383  21.0405  19.18802  18.62494  18.37857
61.7792528498583  -1.14377907158226  0.453665  22.71457  21.02232  19.17973  18.3784  17.98297
61.7881275871457  -1.11692093928541  0.421728  21.99793  20.6942  18.88309  18.1581  17.74403
62.0649365022074  -1.05229024378518  0.304895  21.91239  20.0724  18.43914  17.91207  17.63696
62.1164540335833  -1.05691459208901  0.304993  24.91923  20.33017  18.71527  18.17156  17.79652
62.1129417565807  -1.09545449773313  0.325241  22.51513  20.63435  19.04437  18.46506  18.14832
62.2666542727387  -1.14600705877955  0.277537  21.28194  19.52122  17.98193  17.45876  17.15185
63.1129718383097  -1.14376016416396  0.530159  21.91284  20.45065  18.82821  17.81862  17.23537
63.2784874651767  -1.15270287998679  0.463604  22.00996  20.98168  19.28716  18.47009  18.03416
63.8715166737452  -1.21194920866338  0.342405  22.27259  21.31767  19.07903  18.48724  18.38346
63.9541311056152  -1.10528372751662  0.284825  23.61498  20.30292  18.8028  18.26093  17.99957
64.5648242888051  -1.22324258170706  0.316784  22.84072  20.04106  18.37871  17.78382  17.49582
64.6180844100223  -1.09693746198848  0.340832  23.68875  20.64659  18.94811  18.36819  17.96196
64.5759460488024  -1.11776800799037  0.343959  22.72317  20.33274  18.66002  18.02468  17.70331
64.6037225888499  -1.19168988655683  0.330905  25.03849  20.45642  18.71752  18.17988  17.85107
64.5662812764215  -1.21771256070754  0.360762  23.75362  21.17813  19.30619  18.70028  18.37529
65.5046591248657  -1.12833447210269  0.344671  22.5699  20.91976  19.23596  18.65969  18.32479
65.8075876399013  -1.05796515302235  0.404443  23.7617  21.35795  19.40855  18.69567  18.4262
66.095257797551  -1.11430296217486  0.307292  23.32325  20.49577  18.9094  18.35695  18.03432
66.2311755743901  -1.21470995849024  0.301305  23.07425  20.67837  19.16199  18.63273  18.24801
66.4400148331262  -1.09311033472978  0.376215  22.25967  21.2192  19.4605  18.8709  18.39932
66.605172876169  -1.22188349240063  0.347859  24.29817  20.81592  19.05082  18.4784  18.15851
66.582397104291  -1.15327761930611  0.440327  22.58307  21.27571  19.31969  18.53848  18.28422
66.6184375346654  -1.21190442774351  0.418816  22.85337  20.88274  19.00092  18.27207  17.88127
66.6589158789282  -1.07331539966015  0.43832  22.0238  20.78706  19.11901  18.35289  18.00377
60.6336299546828  -0.771773836540363  0.399288  21.9819  20.39903  18.65711  17.96108  17.55563
60.6891625972532  -0.73270747371603  0.381773  23.63285  20.8856  19.05347  18.40315  18.02208
60.6795387658807  -0.733700893097336  0.326504  24.65868  20.36838  18.67541  18.11012  17.86136
60.8797783533761  -0.722628687829729  0.442873  22.38194  21.25749  19.44316  18.68504  18.26331
60.9137855203882  -0.821587192182181  0.382201  22.04705  21.11301  19.3737  18.715  18.40135
60.9802790707677  -0.649434383502501  0.294801  23.13665  19.88283  18.33627  17.72032  17.45174
61.0471243683621  -0.678990580820355  0.341884  22.40373  20.74223  19.04026  18.54613  18.17041
61.192084021687  -0.712024542623079  0.292387  24.0671  19.69687  18.10008  17.54013  17.20144
61.1019405075483  -0.750455869530067  0.288245  25.39175  20.33566  18.85183  18.33246  18.02601
61.1057014926855  -0.725394089875003  0.31821  24.30449  20.86708  19.2094  18.70948  18.36495
61.1114580272783  -0.732789550231968  0.321776  22.80622  20.76724  19.11919  18.57739  18.27289
61.1550304865522  -0.744070634540485  0.354522  22.28006  21.13271  19.3312  18.73442  18.47758
61.1558905695174  -0.742072868528459  0.335946  21.61687  20.3508  18.68867  18.08281  17.77453
61.2021013402593  -0.707415773608429  0.322913  24.67337  20.74162  19.09347  18.52936  18.18522
61.3884926977054  -0.802068006866068  0.368829  23.38556  21.17076  19.47853  18.90775  18.47695
61.2472575375789  -0.75974685305166  0.280531  22.84807  19.85093  18.33378  17.76542  17.41132
61.3390083656752  -0.667477492546108  0.367392  24.09422  21.04707  19.20205  18.56898  18.27253
61.5134756233205  -0.822087552790683  0.350907  21.80629  21.18067  19.37236  18.79355  18.55975
61.5431709863196  -0.810406458235439  0.343212  22.75873  20.04638  18.36898  17.75639  17.33604
61.6064221062442  -0.752243008302801  0.305729  22.53193  20.75179  19.17943  18.63989  18.40765
61.695712293262  -0.667375021623696  0.301682  22.67891  20.51305  18.91549  18.39649  18.08137
61.827054160342  -0.769070971163152  0.384218  22.10944  21.03409  19.3307  18.70073  18.27304
61.9509725181383  -0.82035962133274  0.365194  23.84225  20.96992  19.08022  18.45952  18.08818
62.0266184223087  -0.780815002169455  0.400256  22.42497  20.99579  19.27975  18.59956  18.21409
62.1290023132476  -0.71481612512459  0.331257  23.08308  20.48511  18.82748  18.22222  17.91984
62.1844680746743  -0.658821465360175  0.323976  22.65673  20.47807  18.87642  18.32713  17.95559
62.2822494892451  -0.72195656561087  0.275052  21.60913  20.04221  18.54455  18.03009  17.65778
62.177285342597  -0.63723940743378  0.37985  21.84469  20.37054  18.53539  17.8796  17.51016
62.2142174664269  -0.686038483290008  0.343601  22.2454  20.6379  18.9289  18.33847  17.96932
62.2913758934449  -0.683316446742239  0.37004  24.34787  21.14202  19.43896  18.80231  18.47104
62.3418996402444  -0.724867097434185  0.345197  22.51661  20.30019  18.52174  17.95073  17.56666
62.554847330371  -0.733450376324781  0.330507  23.17861  20.19886  18.52297  17.90357  17.56411
